part_id,color_id,part_name,part_cat_id
4536,15,Cupboard 2 x 3 x X Drawer,7.0
4738a,70,Treasure Chest Bottom with Rear Slots,7.0
4739a,70,Treasure Chest Lid [Thick Hinge],7.0
4871,15,Slope Inverted 45° 4 x 2 Double,3.0
50745,4,Mudguard 4 x 2 1/2 x 2 with Arch Round,36.0
60471,4,Hinge Plate 1 x 2 Locking with 2 Fingers on Side,18.0
60474,0,Plate Round 4 x 4 with Pin Hole,21.0
6124,45,Minifig Magic Wand,27.0
6251,15,Kitten Crouching,28.0
6255,2,Plant 1 x 1 x 2/3 - 3 Large Leaves,28.0
64647,57,Minifig Feather / Plume Triple Point,27.0
6636,15,Tile 1 x 6 with Groove,19.0
3069bps4,15,Tile 1 x 2 with X-wing Fighter Right Print,10.0
3069bps5,15,Tile 1 x 2 with X-wing Fighter Left Print,10.0
6538b,15,Technic Axle Connector Ridged [with x Hole x Orientation],12.0
3626bpr0645,14,"Minifig Head Male Brown Eyebrows, Open Lopsided Grin, White Pupils Print [Blocked Open Stud]",13.0
74188,4,Magnet Brick 2 x 4 Sealed Base with Extension Plate with Hole,39.0
86035,4,Minifig Cap Short Curved Peak,27.0
87079pr0052,15,Tile 2 x 4 with 'PARIS' Print,10.0
973pr2370c01,15,Torso - I 'L Brick' PARIS Print / Green Arms / Yellow Hands,13.0
3626cpr0891,14,"Minifig Head Black Eyebrows, Thin Grin, Black Eyes with White Pupils Print [Hollow Stud]",13.0
3626cpr1580,14,"Minifig Head Female with Black Thin Eyebrows, Eyelashes, White Pupils and Pink Lips Smile Print [Hollow Stud]",13.0
3835,0,Minifig Axe,27.0
41539,71,Plate 8 x 8,14.0
59363,70,Minifig Hair Female Mid-Length with Braid around Sides,13.0
6126a,57,Wave / Flame Rounded with Base Pegs,27.0
6131,0,Minifig Wizards Hat,27.0
973c02,4,Torso Plain / Red Arms / Yellow Hands,13.0
973c18,0,Torso Plain / Black Arms / Yellow Hands,13.0
4865b,19,Panel 1 x 2 x 1 [Rounded Corners],23.0
50944pr0001,0,Wheel Rim 6.4 x 11 with 5 Spokes and Silver Print,29.0
50951,0,Tyre 14 x 6 Solid Smooth,29.0
60212,0,"Vehicle, Mudguard 2 x 4 with Arch Studded with Hole",36.0
63864,288,Tile 1 x 3,19.0
